Stock No.,name,price,stock,image_filename
9626,Plate Square 4 pcs,155.0,48,C:\Program Files\POS Application\product_images\9626 copy.jpg
9716-GRAY,Chair with Backrest - GRAY,800.0,12,C:\Program Files\POS Application\product_images\9716-GRAY copy.jpg
9716-MOCHA,Chair with Backrest - MOCHA,800.0,12,C:\Program Files\POS Application\product_images\9716-MOCHA copy.jpg
9716-BROWN,Chair with Backrest - BROWN,800.0,12,C:\Program Files\POS Application\product_images\9716-BROWN copy.jpg
9822-A-CREAM,Picnicmate Cream,1060.0,36,C:\Program Files\POS Application\product_images\9822 copy.jpg
9823,15 L Multi-Purpose Box (with handle),340.0,12,C:\Program Files\POS Application\product_images\9823 copy.jpg
-B-001-BLUE,Baker's Crate - BLUE,460.0,6,C:\Program Files\POS Application\product_images\-B-001-BLUE copy.jpg
-B-001-GREEN,Baker's Crate - GREEN,460.0,0,C:\Program Files\POS Application\product_images\-B-001-GREEN copy.jpg
-B-001-RED,Baker's Crate - RED,460.0,6,C:\Program Files\POS Application\product_images\-B-001-RED copy.jpg
-B-001-YELLOW,Baker's Crate - YELLOW,460.0,6,C:\Program Files\POS Application\product_images\-B-001-YELLOW copy.jpg
-I-001-BLUE,50 L Crate (Closed) Deluxe - BLUE,700.0,3,C:\Program Files\POS Application\product_images\ -I-001-2178-C-BLUE copy.jpg
-I-001-GREEN,50 L Crate (Closed) Deluxe - GREEN,700.0,0,C:\Program Files\POS Application\product_images\ -I-001-2178-C-GREEN copy.jpg
-I-001-RED,50 L Crate (Closed) Deluxe - RED,700.0,3,C:\Program Files\POS Application\product_images\ -I-001-2178-C-RED copy.jpg
-I-001-YELLOW,50 L Crate (Closed) Deluxe - YELLOW,700.0,0,C:\Program Files\POS Application\product_images\ -I-001-2178-C-YELLOW copy.jpg
-I-004-BLUE,Multi-Purpose Crate Close Type Blue,530.0,6,C:\Program Files\POS Application\product_images\-I-004_BLUE copy.jpg
-I-004-GREEN,Multi-Purpose Crate Close Type Green,530.0,6,C:\Program Files\POS Application\product_images\-I-004-GREEN copy.jpg
-I-004-RED,Multi-Purpose Crate Close Type Red,530.0,6,C:\Program Files\POS Application\product_images\-I-004_RED copy.jpg
-I-004-YELLOW,Multi-Purpose Crate Close Type Yellow,530.0,6,C:\Program Files\POS Application\product_images\-I-004-YELLOW copy.jpg
-I-001-2178-C-BLUE,Crate Cover (-I-001 & 2178) - BLUE,210.0,6,C:\Program Files\POS Application\product_images\ -I-001-2178-C-BLUE copy.jpg
-I-001-2178-C-RED,Crate Cover (-I-001 & 2178) - RED,210.0,6,C:\Program Files\POS Application\product_images\ -I-001-2178-C-RED copy.jpg
-I-001-2178-C-GREEN,Crate Cover (-I-001 & 2178) - GREEN,210.0,0,C:\Program Files\POS Application\product_images\ -I-001-2178-C-GREEN copy.jpg
-I-001-2178-C-YELLOW,Crate Cover (-I-001 & 2178) - YELLOW,210.0,0,C:\Program Files\POS Application\product_images\ -I-001-2178-C-YELLOW copy.jpg
ST-PT-SET-55,Picnic-Go Set 55,260.0,60,C:\Program Files\POS Application\product_images\ST-PT-SET-55 copy.jpg
ST-PT-SET-63,Picnic-Go Set 63,180.0,24,C:\Program Files\POS Application\product_images\ST-PT-SET-63 copy.jpg
